name,profession,industry,handle,support statement,Number of Twitter followers,Date of statement,screen_name,endorsed
Carole King,singer,music,@Carole_King,,86.1 K,7/27/16,Carole_King,Clinton
Steve Harvey,comedian,comedy,@IAmSteveHarvey,https://twitter.com/iamsteveharvey/status/702570919827353600,3.87 M,3/1/16,IAmSteveHarvey,Clinton
Any Schumer,comedian,comedy,@amyschumer,https://twitter.com/amyschumer/status/641426213718896640?lang=en,4.73 M,7/26/16,amyschumer,Clinton
Madonna,singer,music,@Madonna,https://twitter.com/madonna/status/574635781693833216?lang=en,2.23 M,3/8/15,Madonna,Clinton
Lee Daniels,producer,TV,@leedanielsent,,158 K,10/8/16,leedanielsent,Clinton
Taraji Henson,actress,TV,@TherealTaraji,,5.32 M,10/8/16,TherealTaraji,Clinton
Sigourney Weaver,actress,TV,@realsigourney,,14.8 K,7/27/16,realsigourney,Clinton
Star Jones,lawyer,TV,@StarJonesEsq,https://twitter.com/starjonesesq/status/755849023483850752,201 K,7/27/16,StarJonesEsq,Clinton
Elizabeth Banks,actress,TV,@elizabethbanks,https://twitter.com/elizabethbanks/status/758134742415925248?lang=en,2.35 M,6/26/16,elizabethbanks,Clinton
Demi Lovato,singer,music,@ddlovato,https://twitter.com/justcatchmedemi/status/971771946240266240 ,56.4 M,6/25/16,ddlovato,Clinton
Sarah Silverman,comedian,comedy,@SarahKSilverman,,12.8 M,6/25/16,SarahKSilverman,Clinton
Uzo Aduba,actress,TV,@UzoAduba,https://twitter.com/uzoaduba/status/587355572648816641,492 K,4/12/15,UzoAduba,Clinton
Ja Rule,singer,music,@RuleYork,https://twitter.com/ruleyork/status/726814179311628288,228 K,5/8/15,RuleYork,Clinton
Abby Wambach,athlete,sports,@abbywambach,https://twitter.com/abbywambach/status/715642538561024000?lang=bg,680 K,3/31/16,abbywambach,Clinton
Kim Kardashian,TV personality,TV,@KimKardashian,https://twitter.com/kimkardashian/status/629502260607725569?lang=en,59.6 M,8/6/15,KimKardashian,Clinton
Abbi Jacobson,comedian,comedy,@abbijacobson,https://twitter.com/abbijacobson/status/587385950801629184,289 K,4/12/15,abbijacobson,Clinton
Magic Johnson,athlete,sports,@MagicJohnson,https://twitter.com/magicjohnson/status/587360411437158402,4.68 M,4/12/15,MagicJohnson,Clinton
Salma Hayek,actress,TV,@SalmaHayek,https://twitter.com/salmahayek/status/720410176814092288?lang=en,258 K,4/13/16,SalmaHayek,Clinton
Bruce Springsteen,singer,music,@springsteen,https://twitter.com/springsteen/status/795821377261604865?lang=en,1.16 M,11/7/16,springsteen,Clinton
Jay Z,singer,music,@S_C_,https://twitter.com/s_c_/status/793895455260340232?lang=en,3.33 M,11/7/16,S_C_,Clinton
Bon Jovi,singer,music,@BonJovi,https://twitter.com/bonjovi/status/796352702678757378?lang=en,3.06 M,11/9/16,BonJovi,Clinton
Morgan Freeman,actor,TV,@mjfree,,88.6 K,2/19/16,mjfree,Clinton
Ellen DeGeneres,TV personality,TV,@TheEllenShow,https://twitter.com/theellenshow/status/796230454227529728?lang=en,77.7 M,1/11/16,TheEllenShow,Clinton
Oprah,TV personality,TV,@Oprah,,42.4 M,6/15/16,Oprah,Clinton
